,brand,category,color,features,price,sales_rank,title
B01MCZ73MM,Zumo,centrifugal,,"['No Roller Height Adjustment Needed. No knobs to turn.', 'One-Pass Technology (Cane only needs to be pressed once to get nearly all the juice out).', 'Reverse Switch in case the cane becomes jammed.', 'See Through, Removable Glass Window. Demonstrates to family, friends and customers how clean and beautiful the inner workings of your Juicer is and how it works, plus it allows easy access for periodic cleaning.', 'Seals on the Roller Shafts so the juice does not come in contact with the bearings. The result is longer life bearings and no contamination in the juice.']","$2,651.00",None,"Professional Grade, Table-Top Sugarcane or Sorghum Juice Extractor, 100% Stainless Steel, Capacity: Up To 1.2 Gallons / Minute"
B01MDRK1JN,BioChef,masticating,Black,"['100% BPA-free materials', 'Fits ALL Horizontal BioChef, Oscar & Omega juicers', 'Special Upgrade: wider feeding chute & extra feature pulp adjustment nozzle', 'Packed full of value - 13-piece kit!', '30 day money back guarantee & 10 year warranty']",$120.00,160330,"Universal Horizontal Juicer Front End Kit, Wide Feed Chute, Masticating Slow Juicer for Wheatgrass, Fruits & Vegetables - 10 Year Warranty in Black"
B01MDRWT3H,SIMMERO,centrifugal,Black and Silver,"[""EDGE-TECH TOUCHSCREEN CONTROL: Whether you're on a diet or looking to maintain a healthy lifestyle, this high-tech juicer is the way to go. Featuring a digital, LCD crystal display, this patent model will add a tone of elegant sophistication in your home kitchen. Equipped with a highly efficient, motor, a stainless steel micro-sieve and Titanium coated grater, this juicer offers continuous juice extraction until the pulp container is full; can be used in Hotels, restaurants and bars, as well."", ""SUITABLE FOR ALL TYPES OF FRUIT & VEGGIES: With 5 different settings and run-time display, this powerful juice extractor can accommodate everything from soft fruit, citrus, pineapples and apples to hard veggies and create delicious, super healthy juices in a whiz. Convenient and space-saving, this amazing juicer machine has an integrated pulp container, so it won't take up much room on your kitchen counter."", 'AVOID THE HASSLE OF CHOPPING: Tired of spending time to cut your fruit into small pieces so that they can fit down the chute of your juicer? Simmero Smart Juicer is here to save you from the hassle of preparation. With an extra large, 85mm/3.3"" feed chute you can finally enjoy easy and effortless juicing, without worrying about jamming the machine.', ""SILENT MOTOR: Extremely quiet, producing only 65Db noise at highest speed, its powerful motor ranging from 800 Watt to 1500 Watt at highest is ready to take up all juicing challenges. Being ultra silent, you no longer have to worry about waking up everybody else in the house, while you're trying to conjure up your healthy morning juice delight."", 'THE JUICER THAT MAKES CLEANING A BREEZE: With a special anti-drip tube system and all components being dishwasher safe, you can finally have your morning juice and keep your kitchen counter immaculate every time. Why spend hours on cleaning when you have more important things to do? Complete with a practical 1-liter juice box with measuring scale and lid, plus a black brush for cleaning, this amazing juice extractor makes a great gift for any health-conscious individual.']",,225847,"Touchscreen Smart Fruit & Vegetable Juicer by Simmero - Quiet Centrifugal Electric Juice Extractor Machine w/LCD Display - 5 Speed for Citrus, Fruits & Veggies - Mess Free Juicing- Best Holiday Gift"
B01MEBQ5WH,Total Chef,centrifugal,Black/Silver,"['2-speeds for juicing options', 'Powerful steel juicing blade', 'Wide mouth accommodates whole fruits', 'Easy cleaning', 'Includes surgical steel blade, extra large pulp bin and no drip cap']",$88.74,None,"Total Chef Juicin - Juicer,Koolatron Electric, KMJ-01"
B01MEETCYB,NOVIS,centrifugal,,"['Silver die cast aluminum body', '4-in-1 multi-function: Citromax ?, Vitatec ?, Juicing, and Puree', 'Sensor automatically adjusts speed (100-2000 rpm)', 'Features Citrus press, centrifuge juicer, puree press, wide feed chute, Drophold drip spout, and more', 'Extracts more: high juice yield with low foam and leaves out dry pulp']",$499.99,None,Novis Vita Juicer Silver 4-in-1 Multi-Function Electric Juicer with Bonus Tuttle Juices and Smoothies Cookbook
B01MEHI8AF,Calunce,citrus,Pink,"['Portable, Small, practical', 'A variety of charging ways, charging treasure, mobile phones, computers and so on all can charge for it', 'Lift ring is convenient, not tired, easy to carry', 'The entire fuselage can open, easy to clean after use', 'Food grade 403 stainless steel filter, easy to filter out the impurity in the juice']",$26.89,None,Calunce Rechargeable Portable Juice Bottle Blender USB Electric Fruit Juicer??Juice Blender & Mixer (pink)
B01MQ1JZF4,Zumo,centrifugal,,"['No Roller Height Adjustment Needed. No knobs to turn.', 'One-Pass Technology (Cane only needs to be pressed once to get nearly all the juice out).', 'Reverse Switch in case the cane becomes jammed.', 'See Through, Removable Glass Window. Demonstrates to family, friends and customers how clean and beautiful the inner workings of your Juicer is and how it works, plus it allows easy access for periodic cleaning.', 'Seals on the Roller Shafts so the juice does not come in contact with the bearings. The result is longer life bearings and no contamination in the juice.']","$2,477.50",None,"Professional Grade, Space Saving, Portable, Sugarcane or Sorghum Juice Extractor, Capacity: Up To 0.6 Gallons / Minute"
B01MQ5HWTF,Zumo,centrifugal,,"['No Roller Height Adjustment Needed (No Knobs)', 'One Pass Technology (Cane Only Needs to Be Pressed Once to Get All The Juice Out )', 'Safety Reverse Switch (Can Back Out Cane if Jammed)', 'See Through Instant Removable Glass Window. (Easier Cleaning, Instant Juice Bin, Roller Access)', 'More Powerful Motor for Size']",$852.50,None,"Mini Table-Top Sugarcane or Sorghum Juice Extractor, Residential Quality, 100% Stainless Steel, Capacity: 0.2 Gallons / Minute"
B01MQXKBUO,Natalie Styx,masticating,"Pink- 3"" Inches Wide Chute - 240W AC Motor","['Safe To Use:The outdoor bottle made of TRITAN material which is chemical free. Also the water bottles has durable construction and lightweight good to use while drinking in exercising, at the office, outdoors, back to school, travelling,running, or the gym.', 'Bottle Mouth: It is very easy to open the bottle with just only one-click, also you can open it on one hand. With the special bottle mouth design. The drinking bottle avoid being choked by fast drinking.', 'Comfortable Storage: The Capacity of sports bottle is 550 ML, 18.6 Oz. It can really convenience for storage the water, apple, orrange, kiwi fruit, lemon, blueberry, grapefruit, watermelon or vegetables juicers makes you have healthy lifestyle.', ""Fashion Design: The premium fruits bottle it can be a useful gift or present for ladies, men or women as Fathers Day gifts, Mother's Day gifts, College graduation gifts, Christmas gift or just a birthday present."", 'Guarantee: With 30 days free try policy to make our consumer to enjoy and try our Natalie Styx high-end quality sports bottle.']",$19.99,120772,Natalie Sty Black 550ML 18.6 Oz Tritan Juicer Bottle Sports Water Bottle Great for Gym Running Outdoors Cycling Camping Ideal gift for ladies friends
B01MR30N0X,BioChef,masticating,Red,"['Superior Wide Feeding Chute: juice green, fibrous vegetables like wheatgrass, celery, kale, spinach with ease... no froth guaranteed!', 'Energy-efficient 150W Motor with Super Quiet Operation', 'Slow Squeezing 60 RPM: natural taste & nutrient rich!', 'Strong Tritan BPA-free Material - highest quality guaranteed', 'Impressive 20 Year Warranty!']",$293.00,389362,"BioChef Axis Cold Press Juicer / Horizontal Masticating Juicer (Wide Mouth) with 20 Year Warranty for Wheat Grass, Fruits & Vegetables (Red)"
B01MR4PZCQ,Proctor Silex,masticating,White,['Proctor Silex 66332 Juicit Citrus Juicer by Proctor Silex'],$44.95,1168396,Proctor Silex 66332 Juicit Citrus Juicer by Proctor Silex
B01MRDYEO4,Anfukon,citrus,Pink,"['Multifunctional Powerful Juicer:It can effortlessly pulverizes fruits, vegetables, and foods into amazing smoothies and shakes in 30-60 seconds.Not only for making a protein shake, smoothie, juice,it works well for vegetable and other baby food.', 'Waterproof and Skidproof Design: The cup base with non-slip silica gel dots and waterproof silicone guard cover for the USB outlet make the blender simple to use and easy to clean.', 'Healthy and Environmental-friendly: Made of eco-friendly & food-grade non-toxic PP & PC material.you can make 100% pure fruit juice and vegetable juice.', 'Portable MINI Juice Extractor:Compact, lightweight design ,perfect gym, work, commute, college, travelling and more', 'USB Rechargeable Battery Juicer:Built-in 2600mAh lithium battery,it can be quick charged.The 4 hidden LED indicators shows power status.']",$50.00,None,500ml Rechargeable Juicer Cup Portable Juice Blender is lightweight and Convenient to Carry for Traveling/Working/Outdoors
B01MREE8AL,Hurom,citrus,White,"['High Intensitiy Titanium Coating Blade stronger than stainless Steel', 'Adjustable Speed - Depending adjust speed as 2 step depending on the ingredients', 'Strong & Quiet AC Motor- low vibration,quiet but powerful blending like professionals.', 'Optimized Blending Structure- Blending Depending On ingredients with 4 types of blades-Juice,Mixer,Blend,Whisk,Chopper Blade Maximized Mixing Function.', 'Safety Device-As Temperature rises over 105 ?C, Safety Switch operates.']",$209.99,None,Hurom HCB-001BW Handheld Juicer Blender Titanium Blade Mixer Chopper 220V
B01MRIHNW7,Imusa,citrus,White,"['Capacity: 34-Ounces', 'Includes two cones inserts to accommodate different fruits', 'Jar captures juices from squeezed citrus fruits and features a pour spout for easy serving', 'Pitcher can be used to store freshly squeezed juice', 'Can be used for a variety of citrus fruit including oranges and lemons']",$17.49,554910,"IMUSA USA GAU-80340  Electric Citrus Juicer 40-Watts, White"
B01MRP074D,olawa,masticating,,['Carry-on'],$200.00,None,Multifunctional portable juice extractor
B01MRVZL5N,Unknown,centrifugal,AS PICTURED,"['? A convenenient left and right juicing action', '? A handy lid for dust protection', '? Non-slip feet to prevent movement', '? A low noise level of', '? 2.5 ft. short power cord to avoid any overheating']",$74.99,None,Professional 34oz. White Citrus Juicer
B01MSCRLJP,Elite Cuisine,citrus,White,"['16 oz/2 Cup capacity', 'Transparent juice container', 'Self-reversing reamer cone rotates automatically when pressure is applied', 'Easy pour spout and Strainer/Pulp and seed collector', 'Handle for easy pouring', 'Detachable parts are dishwasher safe']",$16.99,416355,"Elite Cuisine ETS-411 16 oz Citrus Juicer, White"
B01MSXWHVT,Unknown,centrifugal,AS PICTURED,"['? BRAND NEW BLADES FOR THE JACK LALANNE JUICER', '? THE BLADE IS COMPATIBLE WITH THE FOLLOWING JUICER MODELS: CL003AP, E1188, E1189, CLASSIC, PRO, DELUX', '? BRAND NEW', '? NOTE: PLEASE ANTICIPATE THE TIME OF ARRIVAL TO AVOID CANCELLATION OF ORDERS. ? THANK YOU', '? We ship only to lower 48 states. We can not ship to Hawaii, Alaska, PO Boxes, or Military addresses. ?']",$23.99,None,BRAND NEW BLADE FOR JACK LALANNE POWER JUICER
B01MT55T06,BioChef,masticating,Silver,"['Affordable entry-level juice extractor... With the very best features & high quality design', 'Quiet operation and easy cleaning - make juicing simple and easy', 'Produces a living juice - with nutrients and enzymes intact. Will stay fresh for up to 48 hours', 'Features a juice outlet cap, pulp storage plug and 2 x sizes of juicing strainers', '10 year warranty on motor & 5 years parts']",$219.00,None,"BioChef Synergy Slow Juicer, 150W, Masticating Fruit & Vegetable Slow Juicer, Quiet Motor with 10 Year Warranty - Silver"
B01MTZ7QSI,Unknown,centrifugal,AS PICTURED,"['? BRAND NEW BLADES FOR THE JACK LALANNE JUICER', '? THE BLADE IS COMPATIBLE WITH THE FOLLOWING JUICER MODELS: CL003AP, E1188, E1189, CLASSIC, PRO, DELUX', '? BRAND NEW', '?']",$21.99,525709,BRAND NEW BLADE FOR JACK LALANNE POWER JUICER
B01MXPO0UQ,Oster,masticating,White,[],$15.00,None,OSTER TWO SPEED JUICE EXTRACTOR/pulp ejector 323-08 white
B01MXXAL2R,WOQI,masticating,White,"['LOW SPEED MASTICATING JUICER - High Quality 150W AC motor with ?LOW speed of 32 RPMs? squeezes ingredients with minimal oxidation, preserving natural taste & nutrients. Compared with the traditional juicer,our juice is much more nutritious, tastes better and fresher, and lasts longer.And also prevents oxidation on degredation of juice.Our full-nutrition and original-taste juice can be kept fresh for up to 3 days.', 'HIGH-QUALITY ANTI-OXIDATION BUILD & SEALED - All parts are made of high quality food grade anti-oxidation materials.Non-toxic, BPA free protect family health and suitable for tableware.The product is certified by ETL, GS and CE. - The strainer base and the valve provide a sealed space to hold juice during juicing to prevent oxidation. The valve should be shut during juicing.', 'BIG MOUTH WIDE CHUTE - Can easily accommodate large produce items; has more resistances to clogging; greatly reduces preparation and cleanup time.Ultra-quiet operation extracts juice quickly and quietly with a higher yield compared to traditional centrifugal juicers. Low speed motor & single auger delivers quiet and smooth operation.This 9.9 LBS vertical footprint juicer takes up less space in your kitchen.', 'MORE JUICE YIELD WITH LITTLE OXIDATION - more juice yield (Orange 85-90%, Pear 78-83%, Apple 65-75%, Celery 65-70%, Carrot 42-47%) - The filter of base and the valve provide a sealed space to hold juice during juicing to prevent oxidation.This will keep more vitamins and fibers in the fruit and give you and your family more nutritious. EASY CLEANING - Comes complete with cleaning brush, simply pour water through between juices. All parts are dishwasher safe.', 'COMPREHENSIVE GUARANTEED - The product comes with 1-Month Free Trial & 2-Year Warranty (all parts are included) & Extended 5-Year Warranty for the motor and the main body.If you have any questions please contact our customer service team in time.']",$159.99,488239,"Slow Juicer Extractor WOQI Wide Chute Anti-Oxidation Masticating Juicer (150W, 32 RPMs)Vertical Slow Cold Press Juicer for Vegetable and Fruit"
B01MY500DV,Homeleader,masticating,Golden,"['GOOD PERFORMANCE: Non-grinding juicing method featured by slow squeezing is adopted for the product, so the natural flavor and nutrient elements of fruits and vegetables are well retained.', 'HIGH QUALITY EQUIPMENT: High-quality filters and stainless steel blades, pulp is separated. The product has multiple functions, including making vegetable juice and fruit juice, etc.', 'EASY TO CLEAN: The juice extractor comes with detachable and dishwasher safe parts, the juice container can separated with the mainframe, easy to assemble and it is convenient for cleaning.', 'SAFETY PARTS: Dual-switch design, makes the product safer. Make the juice container installed onto the mainframe; apply the juicer cap of squeezing body, and then turn on the switch to make the product run.', 'RELIABLE AND FRIENDLY CUSTOMER SERVICE: Always be ready to respond within a 24-hour time frame. 30-day money back guarantee, 12-month replacement warranty and lifetime support guarantee.']",$184.99,None,"Homeleader Slow Masticating Juicer, Juice Extractor, 150W, Champagne"
B01MYEJJG9,UberKitchen,citrus,Gray,"['INNOVATIVE DESIGN - The rubber cup is specially designed to catch Pit Plum Seeds and Juice passes through easily.', 'ERGONOMIC GRIP - The handle is designed keeping to fit the curves on the palm perfectly. The shape of handle complements the natural shape of palm giving more firm and comfortable grip.', 'NON SLIP MATERIAL - The Non Slip material gives the boost the benefits you get from the perfect grip. No need to add power while extracting juice. Even if your hand is wet, this grip will hold. Thats our Non Slip promise !', 'PIT/PLUM CUP - The catcher cup is specially designed to catch the seeds and the pulp. The holes provided on the cup helps the juice pass through easily.', 'BPA FREE AND DISHWASHER SAFE - Top Rack dishwasher safe. BPA Free.']",$10.99,900553,UberKitchen Citrus Orange Juicer Reamer | Fresh Citrus Juice Extractor | Lemon Lime Orange Flavor Extraction Kitchen Gadget
B01MYO43CQ,Philip,centrifugal,Red,"['Philips Viva Collection Electric Juicer HR1832/40 !!', 'Rated Voltage : 220V~240V, 50/60 Hz ( Europe / Asia ""C"", ""F"" plug type - Two round pin) * If your local AC power supply AC 110 ~ 120V, you will need a step up voltage transformer', 'Power Consumption : 400W / Capacity Juice jug : 500 ml / Pulp Container : 1 L / Materials : ABS Plastic, PP Plastic / Cord Length : 0.8 m', 'Maximum Juice. Minimum Fuss. All in one Compact design', 'Everything you expect from a juicer - High juice extraction, Cleaning within 1 minute - in a compact design that is half the size ! Treat yourself with the joy of a healthy homemade juice every day.']",$132.20,None,NEW Philips HR1832/40 Viva Collection Juicer 220V 400W Citrus Press Juice Maker
B01MZ75BQ8,Oscar,masticating,Stainless Steel,"['8cm x 8cm wide chute - juice whole apples, oranges, tomatoes and more', 'Superior dual-flap technology means more juice, easier to use and clean', 'Warranty: Lifetime on Motor / 5 Year on Parts', ""BioChef's EPT (Enzyme Protection Technology) ensures vital nutrients & enzymes are retained, creating a living cold pressed juice"", 'User-developed design means it was built for and tested by the customer!']",$325.00,539382,Oscar Neo XL Whole Slow Juicer - Powerful 250w Motor & 8cm Wide Chute for Whole Fruits & Vegetables - Lifetime Motor Warranty / 5 Yrs Parts + 3 Yr Commercial
B01MZ8I7S9,Chefs Star?,centrifugal,,"['Easily fit whole fruits & vegetables for effortless juicing | Extra large pulp bin allows you to juice much longer', 'Powerful 700 watt motor makes extracts juice a breeze', 'Dishwasher safe: easy to use, assemble, disassemble and clean', 'Attractive stainless-steel housing', 'Type G works with Bahrain / Belize / Botswana / Brunei / Cyprus / Dominica / England / Ghana / Gibraltar / Grenada / Hong Kong / Iraq / Ireland / Kenya / Macau / Malta / Malaysia / Nigeria / Northern Ireland / Oman / Qatar / Saint Lucia / Saint Vincent / Saudi Arabia / Scotland / Singapore / Sri Lanka / Tanzania / Uganda / the United Arab Emirates / United Kingdom / Wales / Yemen / Zimbabwe']",$43.99,None,"Chef's Star Juicer Wide Mouth Fruit & Vegetable Juice Extractor - Stainless Steel - 220V - Type G Plug for United Kingdom (UK), England, Hong Kong, Ireland, Scotland, UAE & more! by Chefs Star?E?"
B01N019O9S,choosim,centrifugal,Black,"['Lightweight and powerful, Convenient to carry and clean, Anywhere to drink freshly squeezed juice', 'powered by 4400mah rechargeable li-ion battery', 'The FDA certification testing, food grade material, a new safety and health experience of juice', 'For 20 seconds, give you the most fresh juice', 'easily recharged by connecting to any USB powered ports']",$59.99,None,Lightweight juicer machine easy to clean citrus juicer blender?black
B01N01NPKL,choosim,centrifugal,Violet,"['Lightweight and powerful, Convenient to carry and clean, Anywhere to drink freshly squeezed juice', 'powered by 4400mah rechargeable li-ion battery', 'The FDA certification testing, food grade material, a new safety and health experience of juice', 'For 20 seconds, give you the most fresh juice', 'easily recharged by connecting to any USB powered ports']",$59.99,None,Multi-functional Rechargeable Portable Juicer easy to clean Black
B01N0BB6RU,BESTEK,centrifugal,800W,"['Healthy Delicious Juicer: Get more nutritious and fresh squeezed fruit or vegetable juice by using this high efficient juicer to extract up to 20% more juice and 30% more vitamins and minerals than other juicers. All materials that come in contact with food are FDA & BPA-free.', 'Big Mouth Juicer: Extra-wide 3-inch Feed Chute can juice large fruits and vegetables without much cutting or complicated preparation work. Fresh juice can be expected in seconds with the 800W powerful motor.', 'Dishwasher-safe parts; includes 1.1L Juice cup and 2L Large Capacity Pulp Container, Stainless steel juicing net with LED lights knob, and cleaning brush. All materials that come in contact with food are BPA-free, ensuring safe use.', '2-Speed Juicer: 3 Position Switch - ""0"" off, ""I"" low speed, ""II"" fast speed. 2 speed dial maximizes juice yield from soft, leafy greens and hard fruits, you may use the low speed for softer fruits and vegetables and the higher speed for those harder ones.', 'Safety Locking Arm: Prevent the juicer from operating without the cover locked into place. Overload protection prevents over-heating, automatically shutting the machine down when it senses that the machine is overloaded.']",$49.99,111819,"Juice Extractor, BESTEK 800 Watts Whole Fruit Centrifugal Juicer Machine with Juice Cup and Cleaning Brush, Stainless Steel"
B01N0P2NGE,Viski,citrus,,"['Cast aluminum', 'Presses citrus fruits', 'Hand wash only']",$71.95,None,"Viski Professional Silver Citrus Juicer, Set of 4"
B01N19OBQH,Narita,citrus,White,"['Capacity 500ml', 'Random reverse action for best result', 'Removable juice reservoir with spout and handle', 'Transparent lid', 'Practical cable winding']",$24.99,720281,Narita Citrus Juicer NJ-335 By C&H Solutions
B01N1FUD6Y,Tribest,masticating,Black Special Package,"['Special Package includes Living With Green Star Book, Glass Juice Pitcher, Wooden Plunger, and Soft Fruit Adjusting Knob (over $75 value)', 'Portable with balanced sure-grip handle for easy carrying; 12 Year Warranty', 'Automatic pulp ejection for continuous juicing and easier clean-up', 'Easily juices most fruits, herbs & vegetables and grinds nuts, grains', 'Easy to clean and assemble, 110 Volt Model']",$727.59,565946,Tribest Greenstar Elite GSE-5010 Jumbo Twin Gear Cold Press Juice Extractor - Black Special Package
B01N1R8042,Dekchokdee,centrifugal,Black,"['?Produce drier pulp than centrifugal juicers, and extracts more juice from fruits, vegetables, leafy greens, wheatgrass, etc... Squeezes ingredients with minimal oxidation, preserving natural taste & nutrients lost by high-speed centrifugal juicers that grind, crush, and heat', '?The cold press juicer machine operates by first grind the fruit and vegetables into a pulp and then squeeze the water out of the pulp, creating juice; It separates the pulp to enjoy more juice and less foam', '?The juicer also removes excess pulp from the juice that is not wanted. It comes with two strainers, coarse strainer and fine strainer, both are available to help control the amount of pulp you wish', '?Wide mouth feed tube to accommodate most produce whole; juice without precutting. Multi purpose juicer works with both fruits and vegetables; Support continuous juicing with automatic pulp ejection with separate juice outlet and pulp outlet', '?The juice tap / cap can be fixed onto the juice outlet to contorl the flow of juice to the juice pitcher. Close the juice tap valve to pre-mix your juice, if desired. Closing the cap and adding water to the auger housing helps to pre-rinse the juicing screen for easier clean up; It is detachable for easy cleaning by simply pour water through between juices']",$153.70,None,Cold Press Juicer Machine Masticating Slow Juice Extractor Maker Fruit Vegetable
B01N1RIU84,OUTAD,centrifugal,Green,"['Portable: small in size, portable and multi-use, can used as common cup and juice blender, can mix kinds of fruit and vegetables.', 'Safety: healthy and environmentally-friendly, , which uses food grade non-toxic material that can be used safely. Double safety protection switch, and charge/discharge protection.', 'Juice Extractor can repeat use when fully charged, and easy for charge when battery used up.It can be charged by power bank, laptop, computer,mobile phones or other USB devices.', 'Application: a very nice design for those who loves juice and also healthy lifestyle! Freely mix various kinds of fruit & vegetables based on your own taste.Fast stiring speed that can make a cup of juice within one minute.', 'Package: 1 x Juicer Cup, 1 x Instruction, 1 x Usb charging cable.']",$32.99,306113,"Portable Juice Blender and Mixer, OUTAD Portable Juicer Juice Extractor Portable Rechargeable Battery USB Charging 380ml Juicer Cup 2000mAh Power with Travel Lid (Green)"
B01N1XS7N3,Hanchen Instrument?,centrifugal,220V,"[""The juicer's crust system of weifeng brand is made of aluminum alloy and was created by advanced technology."", 'This machine has following advantages:Widely Use, Simple Operation, Easily Wash.', 'The surface adopt oxidation treatment, have a high corrosion resistance. We increased the slag mouth, the slagging is more smooth.', 'Connector for juice plate and motor is plastic injection molding which is in line with food hygiene, you can remove it quickly without tools when you clean the machine.', 'All material attached with the fruits are made of Stainless Steel or Aluminum Alloy, tally with the request of Food Hygiene.']","$1,499.00",None,WF 1000A Commerical Automatic Juicer Press Machine Juice Making Machine Fruit Extractor (220V)
B01N2143NB,Juiceman,citrus,,"['Powerful 40 Watt Motor', '2 Interchangeable Juicing Cones', 'Pressure Activated Auto Start', 'Auto-Reversing Juicing Action For Maximum Extraction', 'Stainless Steel Pulp Strainer']",$74.99,None,"Juiceman JCJ4000S Citrus Juicer, Stainless Steel by Juiceman"
B01N21OPWY,Caso,masticating,Chrome,"['800 Watts', 'Extra large container, juice and residue separated automatically', 'LCD monitor with 4 speed optional, with dial switch', 'Stainless steel housing stainless steel filter basket', 'Overheat protector on powerful motor and safety lock device']",$191.16,None,Power Stainless Steel Juicer w/ Overheat protector and Safety Lock Device
B01N34NMT8,Brentwood,citrus,Multicolor,"['0.7 Liter/700ml capacity', 'Detachable pitcher for easy pouring', '2-way direction dust cover', 'Removable parts for easy cleaning', 'Powerful motor']",$21.25,1142385,Brentwood Citrus Juicer 500 ml
B01N41H3VO,Tribest,masticating,Chrome,"['Special Package includes Z-Star Manual Conversion Kit and Juicing for the Health Of It Book ($70 Value)', 'Dual stage extraction and larger auger means more surface area to Maximize yields', 'Extremely low speed of 57 RPM to prevent heat and oxidation', '15 Year Warranty- Longest warranty of its kind in the industry', 'All food contact parts are made from BPA- and BPS free materials']",$419.96,1674797,Tribest Solostar 4 Horizontal Slow Masticating Cold Press Juicer (SS-4250-B Chrome Special Package)
B01N449WPV,THAILAND GRAND SALE,citrus,Black+Silver,"['Brand New And High Quality. / Safe Plastic And Stainless Steel Material', 'Capable Of Making All Kinds Vegetable And Fruit Juice', 'Powerful Motor Offers 2-Level Variable Speeds', 'Comes With Large-Capacity Pulp Container And Juice Cup', 'Perfect For Home And Commercial Use']",$64.95,None,ELECTRIC FRUIT JUICER MACHINE PERFECT CHOICE FOR YOUR KITCHEN - HEALTHY LIFE STARTS WITH A FRESH JUICE EVERYDAY
B01N4CHGLR,choosim,centrifugal,Red,"['Lightweight and powerful, Convenient to carry and clean, Anywhere to drink freshly squeezed juice', 'powered by 4400mah rechargeable li-ion battery', 'The FDA certification testing, food grade material, a new safety and health experience of juice', 'For 20 seconds, give you the most fresh juice', 'easily recharged by connecting to any USB powered ports']",$59.99,None,Multi-functional Rechargeable Portable Juicer easy to clean Red
B01N4GXH4I,Banseok,centrifugal,Orange,"[""This product's AC power input voltage is AC220V, the plug shape is a C type plug,so If your local AC power supply AC100 ~ 120V, you will need a transformer for 220VAC to 110VAC conversion."", 'Easy controlling for the size of particle From fine power to breaking into half with just One button.', 'Various Kind of Food Raw materials are applied to this item from dry seafood to wet fruits.', 'Principle of conventional Millstone milling Low speed induction motor.', 'Easy washing / Grind particle sizing / Cooling system / Low Noise/Slim.']",$699.99,None,Banseok Homemill Millstone BS-1000 5-in-1 Grinder Mixer Extractor Juicer No-blade No-screw 220V
B01N4T07G4,Omega Juicers,masticating,Chrome,"['Omega Juicer 8006 Motor Base', 'Warranty Card to register 10 year warranty with Omega', 'Operators Manual', 'Original Box']",$39.95,102038,Omega Juicer 8006 Chrome Motor Base
B01N54CL93,MasterPanel,citrus,,"[""Its Powerful Motor Provides 2-Level Variable Speeds For Making Different Kinds Of Fruit And Vegetable Juice Efficiently. And It Is Easy To Clean And Maintain. High Quality Comes At Competitive Price. Don't Hesitate To Buy It!"", '!!!!!!!Import: Not Suitable For Carrot Or Other Solid Fruit Or Vegetables!!!!!!!', 'Safe Plastic And Stainless Steel Material, Powerful Motor Offers 2-Level Variable Speeds, Capable Of Making All Kinds Vegetable And Fruit Juice, Comes With Large-Capacity Pulp Container And Juice Cup, Perfect For Home And Commercial Use.', 'Color: Black+Silver, Shell Material: Stainless Steel, Filter Material: Stainless Steel, Rated Power: 250 W, Rated Voltage: 120V 60Hz, Variable Speeds: 12000/24000rpm, Reversal Speed: 24000rpm.', 'Cord Length: About 3.5 FT, Pulp Container Capacity: 1.5qt (1.4L), Juice Cup Capacity: 500ml, Package Includes: 1x Electric Juicer; 1x Instruction Manual.']",$69.99,None,MasterPanel - Electric Fruit Juicer Machine Vegetable Juice Citrus Extractor Maker Blender #TP3384
B01N5D8KKJ,donfohy,citrus,Orange,"['Feeding mouth shapes: round fruit juicer juice machine', 'Capacity: 400mL and below', 'Body Material: Plastic', '#VALUE!']",$10.07,None,"Plastic fruit manual juicer, juice machine mini hand pressure dual-use infant fruit juice machine juicer juice machine, fruit juicer, juicer hand pressure,"
B01N5E2ZSP,Unknown,centrifugal,AS PICTURED,"['? A convenenient left and right juicing action', '? A handy lid for dust protection', '? Non-slip feet to prevent movement', '? A low noise level of', '? 2.5 ft. short power cord to avoid any overheating ? NOTE: PLEASE ANTICIPATE THE TIME OF ARRIVAL TO AVOID CANCELLATION OF ORDERS. ? THANK YOU ? We ship only to lower 48 states. We can not ship to Hawaii, Alaska, PO Boxes, or Military addresses. ?']",$78.99,None,Professional 34oz. White Citrus Juicer
B01N5I8DY2,OrangeA,centrifugal,Orange Plastic Tanks,"['Power supply:110-120V,60Hz,120W / Warranty: 2 Years.', '4-7 glasses per minute / Size of orange require: 40-80mm.', 'Squeeze 20 to 22 oranges per minutes.', 'Safety cut off switched, it will not working without the cover place.', 'Suit for small drink shops,fruit shop,restaurants,hotels,bars,office of cards,tea and coffee-houses,a very wide range of applications.']",$619.99,231990,OrangeA Orange Juicer Orange Squeezer Machine Citrus Juicer Electric Fruit Juicer Machine Citrus Lemon Lime Automatic Auto Feed Commercial Stainless Steel (Orange Plastic Tanks)
